"Mois";"Archipel";"Classe";"Chambres offertes";"Chambres vendues";"CMR";"RevPar";"RMC"
"octobre 2017";"Autres archipels";"Luxe";"3162";"2315";"0.73213156230234033";"24419.139468690701";"33353.485529157668"
"octobre 2017";"Îles Du Vent";"Grand Tourisme";"12276";"8980";"0.73150863473444117";"16911.622434017594";"23118.828173719376"
"octobre 2017";"Îles Du Vent";"Luxe";"26288";"21431";"0.81523889227023738";"25609.849589166159";"31413.920302365732"
"octobre 2017";"Îles Du Vent";"Tourisme";"8375";"6125";"0.73134328358208955";"8102.1992835820893";"11078.517387755102"
"octobre 2017";"Îles-Sous-Le-Vent";"Grand Tourisme";"7980";"5513";"0.6908521303258145";"17891.027694235589";"25897.043533466353"
"octobre 2017";"Îles-Sous-Le-Vent";"Luxe";"22382";"17214";"0.76910016977928697";"61759.023724421408";"80300.364180318342"
"octobre 2017";"Îles-Sous-Le-Vent";"Tourisme";"713";"454";"0.63674614305750354";"17218.702664796634";"27041.707048458149"
"novembre 2017";"Autres archipels";"Grand Tourisme";"2040";"908";"0.44509803921568625";"5987.5651960784317";"13452.238986784141"
"novembre 2017";"Autres archipels";"Luxe";"3060";"1605";"0.52450980392156865";"14270.838562091503";"27207.953894080998"
"novembre 2017";"Îles Du Vent";"Grand Tourisme";"11878";"7930";"0.66762081158444186";"13566.73480383903";"20321.018411097099"
"novembre 2017";"Îles Du Vent";"Luxe";"25540";"20227";"0.79197337509788568";"24473.057556773689";"30901.364018391258"
"novembre 2017";"Îles Du Vent";"Tourisme";"8093";"5255";"0.64932657852465092";"7061.3021129371064";"10874.808372978116"
"novembre 2017";"Îles-Sous-Le-Vent";"Grand Tourisme";"7547";"4160";"0.55121240227905133";"12604.501656287266";"22866.868750000001"
"novembre 2017";"Îles-Sous-Le-Vent";"Luxe";"21660";"16413";"0.75775623268698056";"51776.197691597416";"68328.303296167665"
"novembre 2017";"Îles-Sous-Le-Vent";"Tourisme";"1690";"381";"0.22544378698224851";"5751.498224852071";"25511.895013123358"
"décembre 2017";"Autres archipels";"Grand Tourisme";"2108";"786";"0.37286527514231499";"4657.6053130929795";"12491.389312977099"
"décembre 2017";"Autres archipels";"Luxe";"3162";"1367";"0.43232131562302339";"12532.295382669197";"28988.381858083394"
"décembre 2017";"Îles Du Vent";"Grand Tourisme";"12274";"6079";"0.49527456411927651";"9933.3176633534295";"20056.183747326864"
"décembre 2017";"Îles Du Vent";"Luxe";"26288";"15856";"0.60316494217894101";"20801.215003043213";"34486.77724520686"
"décembre 2017";"Îles Du Vent";"Tourisme";"8265";"4123";"0.49885057471264366";"6030.4944948578341";"12088.779286926994"
"décembre 2017";"Îles-Sous-Le-Vent";"Grand Tourisme";"7474";"2510";"0.33583088038533582";"8304.3360984747123";"24727.732270916335"
"décembre 2017";"Îles-Sous-Le-Vent";"Luxe";"22382";"12936";"0.57796443570726475";"47856.253775355195";"82801.381570810147"
"décembre 2017";"Îles-Sous-Le-Vent";"Tourisme";"713";"261";"0.36605890603085556";"9473.0210378681622";"25878.406130268198"
"janvier 2018";"Autres archipels";"Grand Tourisme";"2108";"494";"0.23434535104364326";"3370.4103415559771";"14382.236842105263"
"janvier 2018";"Autres archipels";"Luxe";"3069";"1145";"0.37308569566634081";"10858.194525904204";"29103.754585152838"
"janvier 2018";"Îles Du Vent";"Grand Tourisme";"12265";"5778";"0.47109661638809619";"9265.0947411333054";"19667.079785392871"
"janvier 2018";"Îles Du Vent";"Luxe";"26288";"14757";"0.56135879488740115";"17949.900296713331";"31975.806668021956"
"janvier 2018";"Îles Du Vent";"Tourisme";"8274";"3809";"0.46035774715977762";"5927.8791394730479";"12876.679443423471"
"janvier 2018";"Îles-Sous-Le-Vent";"Grand Tourisme";"6517";"2078";"0.31885837041583553";"6450.3860672088385";"20229.627526467757"
"janvier 2018";"Îles-Sous-Le-Vent";"Luxe";"22599";"10658";"0.47161378822071776";"36000.145006416213";"76333.953556014269"
"janvier 2018";"Îles-Sous-Le-Vent";"Tourisme";"713";"218";"0.30575035063113604";"7629.3562412342217";"24952.894495412846"
"février 2018";"Autres archipels";"Grand Tourisme";"1904";"525";"0.27573529411764708";"4425.7006302521013";"16050.540952380952"
"février 2018";"Autres archipels";"Luxe";"2772";"1022";"0.36868686868686867";"10862.312049062049";"29462.161448140901"
"février 2018";"Îles Du Vent";"Grand Tourisme";"10192";"5978";"0.58653846153846156";"12001.811518838305";"20462.10488457678"
"février 2018";"Îles Du Vent";"Luxe";"23744";"15787";"0.66488376010781669";"19651.196260107816";"29555.837334515742"
"février 2018";"Îles Du Vent";"Tourisme";"7588";"3834";"0.50527148128624144";"5650.8668950975225";"11183.823161189359"
"février 2018";"Îles-Sous-Le-Vent";"Grand Tourisme";"6207";"2040";"0.32866118898018365";"6463.6323505719347";"19666.551960784313"
"février 2018";"Îles-Sous-Le-Vent";"Luxe";"20062";"11600";"0.57820755657461864";"39528.161848270363";"68363.274396551729"
"février 2018";"Îles-Sous-Le-Vent";"Tourisme";"644";"219";"0.34006211180124224";"8114.054347826087";"23860.506849315068"
"mars 2018";"Autres archipels";"Grand Tourisme";"2108";"666";"0.31593927893738138";"4744.2623339658448";"15016.373873873874"
"mars 2018";"Autres archipels";"Luxe";"3069";"1189";"0.38742261322906485";"11425.318670576735";"29490.58284272498"
"mars 2018";"Îles Du Vent";"Grand Tourisme";"11284";"7835";"0.69434597660404107";"14030.387362637362";"20206.622973835354"
"mars 2018";"Îles Du Vent";"Luxe";"26288";"18045";"0.68643487522824098";"20578.176582471089";"29978.337822111389"
"mars 2018";"Îles Du Vent";"Tourisme";"8333";"5259";"0.63110524420976843";"6745.26845073803";"10688.024719528428"
