"Subdivision";"Division";"Groupe";"Classe";"Taille Du Menage";"Dépenses";"Autoconsommation";"Ménages";"Dépenses moyennes par ménage";"Dépenses moyennes par ménage répondant";"Dépenses moyennes mensuelles par ménage";"Dépenses moyennes mensuelles par ménage répondant";"Dépenses moyennes par UC";"Dépenses moyennes par UC répondant";"Dépenses moyennes mensuelles par UC";"Dépenses moyennes mensuelles par UC répondant"
"Iles Du Vent";"Boissons alcoolisées, tabacs et stupéfiants";"Stupéfiants";"Stupéfiants";"3";"20872742.063607201";"41263501.117452562";"129.28897202784441";"1926.9968994580247";"161442.55566601557";"160.58307495483538";"13453.546305501297";"853.02073062221189";"68650.549384815895";"71.085060885184319";"5720.8791154013243"
"Iles Du Vent";"Boissons alcoolisées, tabacs et stupéfiants";"Stupéfiants";"Stupéfiants";"4";"26182657.746941775";"0";"57.733855775326198";"2521.1774183721382";"453506.13423140702";"210.09811819767816";"37792.177852617249";"889.32859636159867";"151381.13783273447";"74.110716363466551";"12615.094819394539"
"Iles Du Vent";"Boissons alcoolisées, tabacs et stupéfiants";"Stupéfiants";"Stupéfiants";"5";"70786910.072149813";"0";"66.565693768506705";"11578.944188003201";"1063414.291426498";"964.91201566693348";"88617.857618874841";"3380.4543074710132";"318946.88322694041";"281.70452562258447";"26578.906935578365"
"Iles Du Vent";"Boissons alcoolisées, tabacs et stupéfiants";"Stupéfiants";"Stupéfiants";"6 et +";"20248709.95744675";"0";"79.852799589412712";"2114.1779592255539";"253575.45460599512";"176.1814966021295";"21131.287883832927";"405.32480648111459";"48373.067386029616";"33.777067206759547";"4031.0889488358011"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Tissus d'habillement  ";"1";"15565506.650970174";"0";"154.54042708082881";"2978.1703498071683";"100721.26074058922";"248.1808624839307";"8393.438395049101";"2978.1703498071683";"100721.26074058922";"248.1808624839307";"8393.438395049101"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Tissus d'habillement  ";"2";"33087588.752952956";"567810.73288264649";"304.691362516487";"2839.9993931535287";"108593.78644566129";"236.66661609612737";"9049.4822038051079";"1701.4687812684106";"64420.428435814232";"141.78906510570087";"5368.369036317853"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Tissus d'habillement  ";"3";"38139654.38001316";"0";"467.64079098353216";"3521.0992169940473";"81557.586753282681";"293.4249347495039";"6796.4655627735565";"1558.6795326543215";"35310.516879599658";"129.88996105452679";"2942.5430732999712"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Tissus d'habillement  ";"4";"41214053.128904991";"0";"398.09090670411746";"3968.57878495248";"103529.25031653006";"330.71489874603998";"8627.4375263775055";"1399.8898191984581";"38323.572388927641";"116.65748493320484";"3193.6310324106366"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Tissus d'habillement  ";"5";"11022055.78443704";"0";"205.97458363059121";"1802.9289403220644";"53511.727467330347";"150.24407836017204";"4459.3106222775295";"526.36223160057489";"16115.784056133612";"43.863519300047912";"1342.9820046778011"
"Iles Du Vent";"Articles d'habillement et articles chaussants";"Articles d'habillement  ";"Tissus d'habillement  ";"6 et +";"41510011.46017918";"3186264.0715225306";"430.43751111334751";"4334.0811094010542";"96436.789054029054";"361.17342578342112";"8036.3990878357536";"830.91897693651981";"21078.441373549951";"69.243248078043308";"1756.5367811291624"
