Date;SH;Pays;Poids;Valeur;DTE;CodeICSCH;ICSCH
01/06/2018;61112000;FRP;25;99900;1170;2;Commerce
01/06/2018;64022000;FRP;23;45250;421;2;Commerce
01/06/2018;65050000;FRP;5;23040;260;2;Commerce
01/06/2018;67029090;FRP;4;20859;390;2;Commerce
01/06/2018;68151000;BRP;23;713980;200;1;Industrie
01/06/2018;68159900;FRP;17;105390;780;2;Commerce
01/06/2018;68159900;USP;2;20614;130;2;Commerce
01/06/2018;69120000;FRP;44;206741;1820;2;Commerce
01/06/2018;70133700;FRP;25;85798;2600;2;Commerce
01/06/2018;70134900;FRP;4;8400;260;2;Commerce
01/06/2018;70139900;FRP;0;3000;260;2;Commerce
01/06/2018;70200000;FRP;2;11430;130;2;Commerce
01/06/2018;71012120;HKP;0;8460;835;6;Autre secteur
01/06/2018;71012190;FRP;0;244149;3585;2;Commerce
01/06/2018;71012190;HKP;372;200469956;8728383;6;Autre secteur
01/06/2018;71012190;HKP;77;41299871;1936671;2;Commerce
01/06/2018;71012190;HKP;6;3440160;239030;2;Commerce
01/06/2018;71012190;JPP;24;21797800;1319252;6;Autre secteur
01/06/2018;71012190;JPP;52;29725000;1624741;2;Commerce
01/06/2018;71012190;NCP;0;211500;7180;6;Autre secteur
01/06/2018;71012190;NCP;1;247800;35530;2;Commerce
01/06/2018;71012190;USP;11;14074200;276074;6;Autre secteur
01/06/2018;71012190;USP;16;10174878;598790;2;Commerce
01/06/2018;71129100;FRP;3;3080000;255;2;Commerce
01/06/2018;71131100;FRP;1;90000;130;2;Commerce
01/06/2018;71131100;FRP;2;276618;910;2;Commerce
01/06/2018;71131900;FRP;8;844112;1950;2;Commerce
01/06/2018;71132000;FRP;0;55800;260;2;Commerce
01/06/2018;71161000;FRP;0;227682;130;1;Industrie
01/06/2018;71161000;FRP;0;330000;5630;1;Industrie
01/06/2018;71161000;FRP;4;652032;2340;2;Commerce
01/06/2018;71161000;FRP;0;6148493;36330;2;Commerce
01/06/2018;71161000;HKP;17;568249;85;1;Industrie
01/06/2018;71161000;USP;2;456404;260;2;Commerce
01/06/2018;49119990;FRP;0;10575;260;2;Commerce
01/06/2018;49119990;FRP;20;48220;910;2;Commerce
01/06/2018;49119990;FRP;90;299607;532;3;Services
01/06/2018;49119990;FRP;78;13126;472;3;Services
01/06/2018;71179090;FRP;0;33600;130;2;Commerce
01/06/2018;71179090;FRP;30;233059;2730;2;Commerce
01/06/2018;72044900;NZP;226915;1100000;170;1;Industrie
01/06/2018;73110000;NZP;2222;640000;85;1;Industrie
01/06/2018;83061000;FRP;0;1200;130;2;Commerce
01/06/2018;85051900;FRP;63;248642;3941;2;Commerce
01/06/2018;85238000;FRP;5;28200;390;2;Commerce
01/06/2018;97050000;AUP;1;119;130;6;Autre secteur
