"Subdivision";"Commune";"Commune associée";"Quartier 2000";"Individus";"Individus des résidences principales";"Individus entre 15 et 64 ans";"Actifs";"Chomeurs";"Emploi";"Inactifs";"Taux de chomage";"Taux d'emploi";"Taux d'emploi des 15-64 ans";"Taux d'activite";"Taux d'activité des 15-64 ans";"Logements";"Résidences principales"
"Australes";"Raivavae";"Anatonu";"Anatonu";"253";"253";"150";"103";"44";"59";"85";"0.42718446601941745";"0.31382978723404253";"0.37333333333333335";"0.5478723404255319";"0.66666666666666663";"78";"61"
"Australes";"Raivavae";"Rairua-Mahanatoa";"Rairua-Mahanatoa";"446";"446";"308";"197";"70";"127";"155";"0.35532994923857869";"0.36079545454545453";"0.39935064935064934";"0.55965909090909094";"0.62662337662337664";"167";"119"
"Australes";"Raivavae";"Vaiuru";"Vaiuru";"241";"241";"175";"145";"54";"91";"55";"0.3724137931034483";"0.45500000000000002";"0.47428571428571431";"0.72499999999999998";"0.78285714285714281";"73";"57"
"Australes";"Rapa";"Rapa";"Rapa";"515";"515";"331";"253";"175";"78";"115";"0.69169960474308301";"0.21195652173913043";"0.23262839879154079";"0.6875";"0.76132930513595165";"178";"132"
"Australes";"Rimatara";"Amaru";"Amaru";"296";"296";"186";"130";"45";"85";"78";"0.34615384615384615";"0.40865384615384615";"0.45161290322580644";"0.625";"0.69354838709677424";"97";"82"
"Australes";"Rimatara";"Anapoto";"Anapoto";"270";"270";"168";"40";;"40";"144";;"0.21739130434782608";"0.23214285714285715";"0.21739130434782608";"0.23214285714285715";"56";"52"
"Australes";"Rimatara";"Mutuaura";"Mutuaura";"307";"307";"194";"102";"38";"64";"122";"0.37254901960784315";"0.2857142857142857";"0.32989690721649484";"0.45535714285714285";"0.52577319587628868";"100";"86"
"Australes";"Rurutu";"Avera (Rurutu)";"Avera (Rurutu)";"847";"847";"544";"354";"102";"252";"249";"0.28813559322033899";"0.41791044776119401";"0.44117647058823528";"0.58706467661691542";"0.62867647058823528";"267";"220"
"Australes";"Rurutu";"Hauti";"Hauti";"401";"394";"244";"171";"43";"128";"98";"0.25146198830409355";"0.47583643122676578";"0.51229508196721307";"0.63568773234200748";"0.68852459016393441";"115";"86"
"Australes";"Rurutu";"Moerai";"Moerai";"1074";"1074";"719";"536";"77";"459";"261";"0.14365671641791045";"0.57590966122961107";"0.59805285118219753";"0.67252195734002507";"0.70375521557719056";"366";"294"
