"Subdivision";"Commune";"Commune associée";"Quartier 2000";"Individus";"Individus des résidences principales";"Individus entre 15 et 64 ans";"Actifs";"Chomeurs";"Emploi";"Inactifs";"Taux de chomage";"Taux d'emploi";"Taux d'emploi des 15-64 ans";"Taux d'activite";"Taux d'activité des 15-64 ans";"Logements";"Résidences principales"
"Tuamotu-Gambier";"Fakarava";"Niau";"Niau";"226";"226";"156";"82";"17";"65";"89";"0.2073170731707317";"0.38011695906432746";"0.41666666666666669";"0.47953216374269003";"0.52564102564102566";"81";"75"
"Tuamotu-Gambier";"Fangatau";"Fakahina";"Fakahina";"155";"155";"93";"89";"7";"82";"30";"7.8651685393258425E-2";"0.68907563025210083";"0.78494623655913975";"0.74789915966386555";"0.86021505376344087";"73";"60"
"Tuamotu-Gambier";"Fangatau";"Fangatau";"Fangatau";"145";"145";"95";"62";"19";"43";"51";"0.30645161290322581";"0.38053097345132741";"0.45263157894736844";"0.54867256637168138";"0.65263157894736845";"69";"43"
"Tuamotu-Gambier";"Gambier";"Gambier";"Gambier";"1421";"1376";"990";"634";"45";"589";"418";"7.0977917981072558E-2";"0.5598859315589354";"0.59292929292929297";"0.60266159695817489";"0.63838383838383839";"453";"407"
"Tuamotu-Gambier";"Hao";"Amanu";"Amanu";"195";"195";"121";"83";"11";"72";"45";"0.13253012048192772";"0.5625";"0.5950413223140496";"0.6484375";"0.68595041322314054";"62";"49"
"Tuamotu-Gambier";"Hao";"Hao";"Hao";"1066";"1020";"726";"517";"207";"310";"252";"0.40038684719535783";"0.40312093628088425";"0.42424242424242425";"0.67230169050715216";"0.70936639118457301";"357";"279"
"Tuamotu-Gambier";"Hao";"Hereheretue";"Hereheretue";"56";"56";"42";"27";"2";"25";"18";"0.07407407407407407";"0.55555555555555558";"0.5714285714285714";"0.59999999999999998";"0.61904761904761907";"22";"16"
"Tuamotu-Gambier";"Hikueru";"Hikueru";"Hikueru";"150";"150";"103";"67";"34";"33";"43";"0.5074626865671642";"0.29999999999999999";"0.32038834951456313";"0.60909090909090913";"0.65048543689320393";"60";"41"
"Tuamotu-Gambier";"Hikueru";"Marokau";"Marokau";"91";"91";"63";"45";"1";"44";"21";"2.2222222222222223E-2";"0.66666666666666663";"0.69841269841269837";"0.68181818181818177";"0.7142857142857143";"30";"24"
"Tuamotu-Gambier";"Makemo";"Katiu";"Katiu";"250";"250";"162";"88";"41";"47";"84";"0.46590909090909088";"0.27325581395348836";"0.29012345679012347";"0.51162790697674421";"0.54320987654320985";"87";"59"
"Tuamotu-Gambier";"Makemo";"Makemo";"Makemo";"832";"830";"535";"300";"59";"241";"283";"0.19666666666666666";"0.41337907375643224";"0.44485981308411215";"0.51457975986277871";"0.55514018691588785";"304";"216"
"Tuamotu-Gambier";"Makemo";"Raroia";"Raroia";"349";"291";"262";"212";"9";"203";"69";"4.2452830188679243E-2";"0.72241992882562278";"0.75190839694656486";"0.75444839857651247";"0.7862595419847328";"109";"98"
"Tuamotu-Gambier";"Makemo";"Taenga";"Taenga";"124";"124";"80";"49";"6";"43";"33";"0.12244897959183673";"0.52439024390243905";"0.53749999999999998";"0.59756097560975607";"0.61250000000000004";"43";"35"
"Tuamotu-Gambier";"Manihi";"Ahe";"Ahe";"552";"474";"409";"249";"23";"226";"188";"9.2369477911646583E-2";"0.51716247139588101";"0.54523227383863082";"0.56979405034324948";"0.60146699266503667";"176";"140"
"Tuamotu-Gambier";"Manihi";"Manihi";"Manihi";"685";"632";"496";"318";"150";"168";"203";"0.47169811320754718";"0.32245681381957775";"0.33467741935483869";"0.61036468330134352";"0.63709677419354838";"265";"187"
"Tuamotu-Gambier";"Napuka";"Napuka";"Napuka";"299";"299";"189";"88";;"88";"115";;"0.43349753694581283";"0.46031746031746029";"0.43349753694581283";"0.46031746031746029";"100";"82"
"Tuamotu-Gambier";"Napuka";"Tepoto Nord";"Tepoto Nord";"61";"61";"39";"32";;"32";"10";;"0.76190476190476186";"0.82051282051282048";"0.76190476190476186";"0.82051282051282048";"32";"22"
"Tuamotu-Gambier";"Nukutavake";"Nukutavake";"Nukutavake";"188";"188";"116";"58";"32";"26";"72";"0.55172413793103448";"0.20000000000000001";"0.22413793103448276";"0.44615384615384618";"0.5";"55";"48"
"Tuamotu-Gambier";"Nukutavake";"Vahitahi";"Vahitahi";"105";"105";"65";"46";"26";"20";"28";"0.56521739130434778";"0.27027027027027029";"0.30769230769230771";"0.6216216216216216";"0.70769230769230773";"31";"29"
"Tuamotu-Gambier";"Nukutavake";"Vairaatea";"Vairaatea";"57";"57";"39";"7";"2";"5";"36";"0.2857142857142857";"0.11627906976744186";"0.12820512820512819";"0.16279069767441862";"0.17948717948717949";"20";"17"
"Tuamotu-Gambier";"Pukapuka";"Pukapuka";"Pukapuka";"166";"166";"112";"76";"29";"47";"39";"0.38157894736842107";"0.40869565217391307";"0.41964285714285715";"0.66086956521739126";"0.6785714285714286";"45";"43"
"Tuamotu-Gambier";"Rangiroa";"Makatea";"Makatea";"68";"68";"48";"35";"26";"9";"20";"0.74285714285714288";"0.16363636363636364";"0.1875";"0.63636363636363635";"0.72916666666666663";"40";"28"
"Tuamotu-Gambier";"Rangiroa";"Mataiva";"Mataiva";"280";"280";"180";"81";"4";"77";"116";"4.9382716049382713E-2";"0.39086294416243655";"0.42777777777777776";"0.41116751269035534";"0.45000000000000001";"76";"75"
"Tuamotu-Gambier";"Rangiroa";"Rangiroa";"Rangiroa";"2567";"2545";"1757";"1194";"284";"910";"700";"0.23785594639865998";"0.48046462513199578";"0.50996015936254979";"0.63041182682154173";"0.67103016505406943";"1081";"746"
"Tuamotu-Gambier";"Rangiroa";"Tikehau";"Tikehau";"529";"524";"370";"201";"18";"183";"210";"8.9552238805970144E-2";"0.44525547445255476";"0.48918918918918919";"0.48905109489051096";"0.53783783783783778";"209";"154"
"Tuamotu-Gambier";"Reao";"Pukarua";"Pukarua";"227";"227";"144";"84";"2";"82";"79";"2.3809523809523808E-2";"0.50306748466257667";"0.56944444444444442";"0.51533742331288346";"0.58333333333333337";"87";"63"
"Tuamotu-Gambier";"Reao";"Reao";"Reao";"379";"379";"254";"174";"78";"96";"107";"0.44827586206896552";"0.34163701067615659";"0.37795275590551181";"0.61921708185053381";"0.68503937007874016";"147";"91"
"Tuamotu-Gambier";"Takaroa";"Takapoto";"Takapoto";"380";"380";"251";"156";"42";"114";"125";"0.26923076923076922";"0.40569395017793597";"0.45019920318725098";"0.55516014234875444";"0.61752988047808766";"180";"119"
"Tuamotu-Gambier";"Takaroa";"Takaroa";"Takaroa";"882";"798";"628";"389";"69";"320";"277";"0.17737789203084833";"0.48048048048048048";"0.50477707006369432";"0.58408408408408408";"0.61464968152866239";"316";"224"
"Tuamotu-Gambier";"Tatakoto";"Tatakoto";"Tatakoto";"287";"287";"190";"131";"15";"116";"86";"0.11450381679389313";"0.53456221198156684";"0.55263157894736847";"0.60368663594470051";"0.63157894736842102";"99";"89"
"Tuamotu-Gambier";"Tureia";"Tureia";"Tureia";"301";"301";"184";"121";"34";"87";"71";"0.28099173553719009";"0.453125";"0.46195652173913043";"0.63020833333333337";"0.64673913043478259";"95";"75"
